LIN	Species	Strain	Filename	Accession	taxid_LIN	parent_LIN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	trachomatis	D_ref	D_ref.fna	D_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,297,298	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,297
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,3	trachomatis	E_ref	E_ref.fna	E_ref	1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,165,168,299	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,134,160,161,165,168
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,1	trachomatis	F_ref	F_ref.fna	F_ref	1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,200,300	1,1,2,3,4,5,6,7,8,9,10,11,12,132,133,189,190,191,197,200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0	trachomatis	G_ref	G_ref.fna	G_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,301,302,303,304	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,301,302,303
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	trachomatis	H_ref	H_ref.fna	H_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,305,306,307,308,309	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,305,306,307,308
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2	trachomatis	Ia_ref	Ia_ref.fna	Ia_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,61,310	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,51,59,60,61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	trachomatis	I_ref	I_ref.fna	I_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,14,311,312,313,314,315,316	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,311,312,313,314,315
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0	trachomatis	J_ref	J_ref.fna	J_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,76,77,317,318,319	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,50,76,77,317,318
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0	trachomatis	K_ref	K_ref.fna	K_ref	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,320,321,322	1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,320,321
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0	trachomatis	L1_ref	L1_ref.fna	L1_ref	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,258,259,323,324	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,258,259,323
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0	trachomatis	L2a_ref	L2a_ref.fna	L2a_ref	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,250,325,326,327	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,250,325,326
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1	trachomatis	L2c_ref	L2c_ref.fna	L2c_ref	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,250,255,256,328	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,244,250,255,256
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0	trachomatis	L3_ref	L3_ref.fna	L3_ref	1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,271,272,273,329,330	1,1,2,3,4,5,6,7,8,9,10,11,240,241,242,243,271,272,273,329
